Flag   |SlotID |FighterID  |CSSSlotID  |CosmeticID |Internal Name   |Fighter Name
       |0x74   |0x74       |0x74       |0x74       |waddle          |Bandana Waddle Dee
       |0x75   |0x75       |0x75       |0x75       |subzero         |Sub-Zero
       |0x76   |0x76       |0x76       |0x76       |sandbag         |Sandbag
       |0x77   |0x77       |0x77       |0x77       |simon           |Simon Belmont
       |0x78   |0x78       |0x78       |0x78       |richter         |Richter Belmont
       |0x79   |0x79       |0x79       |0x79       |blackshadow     |Black Shadow
       |0x7A   |0x7A       |0x7A       |0x7A       |metalface       |Metal Face
       |0x7B   |0x7B       |0x7B       |0x7B       |terry           |Terry
       |0x7C   |0x7C       |0x7C       |0x7C       |onilink         |Fierce Deity
       |0x7D   |0x7D       |0x7D       |0x7D       |joker           |Joker
       |0x7E   |0x7E       |0x7E       |0x7E       |vectorman       |VectorMan
       |0x7F   |0x7F       |0x7F       |0x7F       |wiifit          |Wii Fit Trainer
       |0x80   |0x80       |0x80       |0x80       |szerosuitheels  |!Modern Zero Suit Samus
       |0x81   |0x81       |0x81       |0x81       |reflet-f        |Robin (Female)
       |0x82   |0x82       |0x82       |0x82       |kamui-m         |Corrin (Male)
       |0x84   |0x84       |0x84       |0x84       |lucinaecho      |!Modern Lucina
       |0x85   |0x85       |0x85       |0x85       |deathborn       |Deathborn
       |0x86   |0x86       |0x86       |0x86       |hero            |Hero
       |0x88   |0x88       |0x88       |0x88       |wolfspecial     |!Ult Wolf
       |0x89   |0x89       |0x89       |0x89       |hikari          |Mythra
       |0x8A   |0x8A       |0x8A       |0x8A       |supersonic      |Super Sonic
       |0x8E   |0x8E       |0x8E       |0x8E       |homura          |Pyra
       |0x91   |0x91       |0x91       |0x91       |banjokazui      |Banjo & Kazooie
       |0x94   |0x94       |0x94       |0x94       |lizardonmega    |Mega Charizard X
       |0x95   |0x95       |0x95       |0x95       |royspecial      |!Ult Roy
       |0x99   |0x99       |0x99       |0x99       |gkoopahone      |Giga Dry Bowser
       |0x9A   |0x9A       |0x9A       |0x9A       |bayonetta       |Bayonetta
       |0x9B   |0x9B       |0x9B       |0x9B       |brawlmk         |Brawl Meta Knight
       |0x9C   |0x9C       |0x9C       |0x9C       |gpurin          |Big Jigglypuff
       |0x9D   |0x9D       |0x9D       |0x9D       |silver          |Silver
       |0x9F   |0x9F       |0x9F       |0x9F       |mewtwomega      |Mega Mewtwo Y
       |0xA1   |0xA1       |0xA1       |0xA1       |metalmario      |Metal Mario
       |0xA2   |0xA2       |0xA2       |0xA2       |sora            |Sora
       |0xA3   |0xA3       |0xA3       |0xA3       |lucariomega     |Mega Lucario
       |0xA4   |0xA4       |0xA4       |0xA4       |swordganon      |Sword Ganondorf
       |0xA5   |0xA5       |0xA5       |0xA5       |ssuitless       |Suitless Samus
       |0xA6   |0xA6       |0xA6       |0xA6       |giantdk         |Giant Donkey Kong
       |0xA7   |0xA7       |0xA7       |0xA7       |falcospecial    |Ultimate Falco
       |0xA8   |0xA8       |0xA8       |0xA8       |lucasspecial    |Ultimate Lucas
       |0xA9   |0xA9       |0xA9       |0xA9       |wiifit-m        |Male Wii Fit Trainer
